filename,rgb_path,fluo_path,registered_rgb_train_path,registered_rgb_visual_path,overlay_path,status,message
00417.jpg,D:\multimodel\data\apply_rgbtest\00417.jpg,D:\multimodel\data\apply_graytest\00417.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00417.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00417.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00417.jpg,success,
00418.jpg,D:\multimodel\data\apply_rgbtest\00418.jpg,D:\multimodel\data\apply_graytest\00418.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00418.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00418.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00418.jpg,success,
00419.jpg,D:\multimodel\data\apply_rgbtest\00419.jpg,D:\multimodel\data\apply_graytest\00419.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00419.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00419.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00419.jpg,success,
00420.jpg,D:\multimodel\data\apply_rgbtest\00420.jpg,D:\multimodel\data\apply_graytest\00420.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00420.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00420.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00420.jpg,success,
00421.jpg,D:\multimodel\data\apply_rgbtest\00421.jpg,D:\multimodel\data\apply_graytest\00421.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00421.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00421.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00421.jpg,success,
00422.jpg,D:\multimodel\data\apply_rgbtest\00422.jpg,D:\multimodel\data\apply_graytest\00422.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00422.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00422.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00422.jpg,success,
00423.jpg,D:\multimodel\data\apply_rgbtest\00423.jpg,D:\multimodel\data\apply_graytest\00423.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00423.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00423.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00423.jpg,success,
00424.jpg,D:\multimodel\data\apply_rgbtest\00424.jpg,D:\multimodel\data\apply_graytest\00424.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00424.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00424.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00424.jpg,success,
00425.jpg,D:\multimodel\data\apply_rgbtest\00425.jpg,D:\multimodel\data\apply_graytest\00425.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00425.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00425.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00425.jpg,success,
00426.jpg,D:\multimodel\data\apply_rgbtest\00426.jpg,D:\multimodel\data\apply_graytest\00426.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00426.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00426.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00426.jpg,success,
00427.jpg,D:\multimodel\data\apply_rgbtest\00427.jpg,D:\multimodel\data\apply_graytest\00427.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00427.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00427.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00427.jpg,success,
